coeff_A,coeff_B,Interaction,Correlation,FACET Metric,Metric Type,Metric Value,x_val
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.006681934363928572,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.016809923288672746,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.01763737797875196,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.017527969487454727,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04033459201027381,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0009257650972840627,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.006093539083072363,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.015363250192497674,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.0160160534862617,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.015931623026099306,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.04060127055711012,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.0006817359579320866,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.005251948101748072,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.02693204102788992,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.027991055815965695,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.027869079805854787,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(A,B)",0.03252373594808521,0.0
0.5,4.0,0.0,0.2,Synergy,"Asymmetric(B,A)",0.000699156930155732,0.0
0.5,4.0,0.0,0.2,Synergy,Symmetric,0.00475480798423561,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(A,B)",0.01841333926282342,0.0
0.5,4.0,0.0,0.2,Redundancy,"Asymmetric(B,A)",0.019040829202798405,0.0
0.5,4.0,0.0,0.2,Redundancy,Symmetric,0.018961393994075985,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.08655274467340496,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.00104424071871774,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.009474991979010229,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.08079581892440948,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.08835476950479512,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.0876013902552672,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.04709308269024893,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0007734607357230149,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.006016701059335152,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.10365534691862617,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.10873384716731994,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.10816179155296805,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.05423621279765951,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0007374346960906063,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.006311091452873714,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.07584944335337687,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.0800500313692778,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.07961646985781129,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.059036701106324044,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0009349365944420662,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.007410839326433052,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.09598395775261383,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.10209408656661605,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.10140945944259881,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.06235303892090606,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0008402898834842833,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.007228062392081354,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.12414436288643184,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.1328073554023659,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.13190665772964544,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.05318623067071359,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0009182179395284009,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.006962538934210052,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.10904919223036198,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.11541127594548922,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.1146736562006949,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.05030493262504774,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0009826217002459553,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.007011970691126814,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.10658390845574514,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.11208151636628978,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.11140473129474077,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.041798189523869746,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0007530538738297199,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.005600454908382294,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.1095989692720222,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.11430589442780004,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.11374810020521081,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.056451227239160746,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0009581324028442253,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.007325441212897827,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.13112625161754485,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.13930935749174606,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.13836808886778754,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(A,B)",0.06625028025826746,0.0
0.5,4.0,0.0,0.5,Synergy,"Asymmetric(B,A)",0.0011820931798279095,0.0
0.5,4.0,0.0,0.5,Synergy,Symmetric,0.00881958572014966,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(A,B)",0.10805031783383132,0.0
0.5,4.0,0.0,0.5,Redundancy,"Asymmetric(B,A)",0.115565446138716,0.0
0.5,4.0,0.0,0.5,Redundancy,Symmetric,0.1146733296653319,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.08526279137033554,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.001398232488055171,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.01087346590500006,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.4055829873906921,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.44183490578858264,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.4377164141321613,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.07118352662762734,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.001200789298548554,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.009208740529227554,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.40275948229768344,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.43309464150027777,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.4296051735647746,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.0895544464549845,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.001235923630437504,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.010455879538630091,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.37912510878574274,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.41525319965620733,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.4114504144746458,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.0859244051512223,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0010839948412653636,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.009582491105515538,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.3409688231853908,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.3725700857206567,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.3693435326984875,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.07909127888196574,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0010808229309413817,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.009208266910597602,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.3449391315073483,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.37359990243556157,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.3705865530489199,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.07865416510448474,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0016848350329889735,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.011445297682286915,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.44833889810783417,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.48575381706777954,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.48099593803716123,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.14393706778837773,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0020394950294377588,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.017066947471197292,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.3696748053188514,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.42991341878936873,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.4234862900729396,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.09961476845715161,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0011747069364843473,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.010760902428867675,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.3476049447446528,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.38499055634715873,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.3813212581223653,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.11530112262683473,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0014645566926872022,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.012908867243502258,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.43263844385893213,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.4876721448392214,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.48207312482842435,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(A,B)",0.1314837083953391,0.0
0.5,4.0,0.0,0.8,Synergy,"Asymmetric(B,A)",0.0017525495937647606,0.0
0.5,4.0,0.0,0.8,Synergy,Symmetric,0.015133023050893759,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(A,B)",0.335552421222135,0.0
0.5,4.0,0.0,0.8,Redundancy,"Asymmetric(B,A)",0.38669485049996477,0.0
0.5,4.0,0.0,0.8,Redundancy,Symmetric,0.38136900059574436,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.4314311231280751,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.015194296297325023,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.08084277905443442,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.01794042686528599,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.03121238674164672,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.02909518624686346,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.4309231983822368,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.014357506290185562,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.07852190377922423,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.014738794119654897,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.02605817404881732,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.024317719466229574,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.4531970526884783,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.015106011328930986,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.08240101636544107,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.011441618416289432,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.02040482378499111,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.018964357657662582,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.40885051845705667,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.014651308854009932,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.07698355849953031,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.015231671798058928,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.024686718241585744,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.023156354724905785,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.45749388370134775,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.012780680141863392,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.07629979955094321,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.01179551790205068,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.02100626993884156,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.0196937847360734,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.43312112692799454,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.012701026421580266,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.07398600887891893,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.011988267065084778,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.021234997848445535,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.019905093953867737,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.4582921061131344,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.011410939600920869,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.07216367009920231,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.02020627228532533,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.0386003564384755,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.03607215589109697,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.37496679637906455,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.0118447747454931,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.06649743119660753,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.01893476108488637,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.030188600421339317,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.028489088376106964,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.45433665208198,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.012538155164741606,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.07531674324496752,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.011436473431198756,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.020628540594002397,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.019325479722798796,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(A,B)",0.5437756859054211,0.0
0.5,4.0,1.0,0.2,Synergy,"Asymmetric(B,A)",0.013629690332761275,0.0
0.5,4.0,1.0,0.2,Synergy,Symmetric,0.08578084529364832,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(A,B)",0.011440686122512185,0.0
0.5,4.0,1.0,0.2,Redundancy,"Asymmetric(B,A)",0.024955304046697466,0.0
0.5,4.0,1.0,0.2,Redundancy,Symmetric,0.023085582086068875,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.3152860834215176,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.010917865850251018,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.05859312575500235,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.05744445274059399,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.08383227174252199,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.07968700784067208,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.48072361377019895,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.014066217590521624,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.08206320615152446,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.0499851133589442,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.09646902720552236,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.0896409786150959,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.39879427703093484,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.013697564661903723,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.07378167239004985,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.046810722943477316,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.0786075163317509,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.07363684638087221,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.42669814898863834,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.012814661502835918,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.07385903341788408,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.04932226155608932,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.08818928322862296,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.08239192602442498,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.3710743346460402,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.011346275950794458,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.06472773769880114,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.052101836672544574,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.0838809535340998,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.079163267706256,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.3968246335119756,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.011173713618372716,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.06648366734724348,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.04613894783604835,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.07714871030401418,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.07265276978036594,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.4455244469852539,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.015087664525121327,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.0816425996162073,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.04464144529210927,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.08054806185154995,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.0747861968311593,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.4308478588575828,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.014377784718620359,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.0785849247933174,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.05299330384068077,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.09287094864634354,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.08668489215585026,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.4263352349698988,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.012514649055944278,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.07285750965982424,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.051270368872264285,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.08821475211908543,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.0828120842350591,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(A,B)",0.3763950952672297,0.0
0.5,4.0,1.0,0.5,Synergy,"Asymmetric(B,A)",0.013505782741460075,0.0
0.5,4.0,1.0,0.5,Synergy,Symmetric,0.07106044275670338,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(A,B)",0.0599236919423715,0.0
0.5,4.0,1.0,0.5,Redundancy,"Asymmetric(B,A)",0.09707135490713922,0.0
0.5,4.0,1.0,0.5,Redundancy,Symmetric,0.09100711783251,0.0
0.5,4.0,1.0,0.8,Synergy,"Asymmetric(A,B)",0.3349849408804495,0.0
0.5,4.0,1.0,0.8,Synergy,"Asymmetric(B,A)",0.0062527756766644115,0.0
0.5,4.0,1.0,0.8,Synergy,Symmetric,0.045617169256428024,0.0
0.5,4.0,1.0,0.8,Redundancy,"Asymmetric(A,B)",0.08357801515166356,0.0
0.5,4.0,1.0,0.8,Redundancy,"Asymmetric(B,A)",0.1272303881444721,0.0
0.5,4.0,1.0,0.8,Redundancy,Symmetric,0.12200977145640281,0.0
0.5,4.0,1.0,0.8,Synergy,"Asymmetric(A,B)",0.31412131642335,0.0
